id,p_x,p_y,p_z,o_x,o_y,o_z,o_w
0,0.0,0.3,0.1,0.5,0.5,0.5,0.5
1,0.012594627,0.299967824,0.09997575,-0.531748384,-0.457920826,-0.446774665,-0.554927537
2,0.025082887,0.297661636,0.10013008,0.531957545,0.457642742,0.446714855,0.55500462
3,0.03694485,0.293169791,0.100505709,-0.582477361,-0.364883221,-0.329865023,-0.647123964
4,0.047819039,0.286644834,0.101169005,0.582644632,0.364570648,0.329790193,0.647187688
5,0.057341678,0.278316516,0.102118298,-0.615934628,-0.262139495,-0.20154549,-0.715043239
6,0.065245837,0.268468729,0.103399633,-0.616056488,-0.261786079,-0.201431529,-0.715099847
7,0.071287379,0.257435364,0.104991239,0.63144526,0.154475242,0.06810773,0.75681941
8,0.075335443,0.245572696,0.106919729,0.631512372,0.154078575,0.067936412,0.75685967
9,0.077289142,0.233253741,0.109146374,0.629601853,0.046470969,-0.064512941,0.772838945
10,0.077159332,0.220841996,0.111683246,-0.629602941,-0.046037206,0.064745724,-0.772844553
11,0.074977993,0.208689453,0.114480677,0.611880157,-0.058063295,-0.191517087,0.765214044
12,0.070874607,0.197115543,0.117542669,0.611806546,-0.058519549,-0.191800712,0.765167106
13,0.064982289,0.186411034,0.120814916,-0.580144114,0.156368085,0.309584029,-0.736980025
14,0.057512907,0.176822813,0.124298993,0.579992292,-0.156827414,-0.309898321,0.736869821
15,0.048663628,0.168562986,0.127940594,-0.536204668,0.246722612,0.416781563,-0.691307194
16,0.038693663,0.161797846,0.131742313,-0.535976346,0.247165141,0.417103326,-0.69113209
17,0.027833154,0.156659996,0.135652039,0.481530818,-0.328226152,-0.512178542,0.630926941
18,0.016362553,0.153239175,0.139674392,-0.481231624,0.328634458,0.512486139,-0.630692853
19,0.004524058,0.151595177,0.143759412,0.417137563,-0.400482757,-0.595329538,0.557846356
20,-0.00740211,0.151749305,0.147905966,0.381497314,-0.433077305,-0.632179885,0.516964641
21,-0.019152895,0.153692474,0.152091994,-0.381107995,0.433409062,0.632433203,-0.516663841
22,-0.030484427,0.157385844,0.156274342,-0.303572697,0.491039293,0.695963323,-0.427035225
23,-0.041121204,0.162753939,0.16045629,-0.303137364,0.491307525,0.696163635,-0.426709325
24,-0.050837816,0.169694345,0.16458477,-0.217055719,0.538969076,0.745433728,-0.326692067
25,-0.0593775,0.178065764,0.168658607,0.216588849,-0.539166561,-0.74557209,0.326360153
26,-0.066540803,0.187697942,0.172619901,-0.122432189,0.576063012,0.778618963,-0.216597033
27,-0.072106219,0.198379969,0.176461889,-0.121951413,0.576185094,0.778691935,-0.216280974
28,-0.075921139,0.209871309,0.180121642,0.02067647,-0.601116078,-0.792864351,0.097969712
29,-0.077824694,0.221892236,0.183587787,0.020201664,-0.601161654,-0.792876279,0.097692193
30,-0.077740467,0.234138059,0.186794735,-0.086432735,-0.612626119,-0.785170789,-0.026934238
31,-0.075600232,0.246273762,0.189730422,-0.086882229,-0.612598705,-0.785134989,-0.027154246
32,-0.071436265,0.257953222,0.192332099,0.196097478,0.609058378,0.752811064,0.154496517
33,-0.065302998,0.268819202,0.19459396,-0.196507068,-0.608966033,-0.752747452,-0.154649976
34,-0.057365314,0.278527725,0.19646418,-0.304495427,-0.589246959,-0.694137847,-0.27971987
35,-0.04781424,0.286752251,0.197951908,-0.304858896,-0.589100045,-0.694065748,-0.27981231
36,-0.036947628,0.293210515,0.19902484,-0.407068991,-0.552843679,-0.609373326,-0.396639448
37,-0.025077191,0.297668777,0.19971473,-0.407388718,-0.552650843,-0.609301775,-0.396689836
38,-0.012600402,0.299965884,0.200014633,0.499101665,0.500664691,0.501087029,0.499143451
39,0.0,0.3,0.2,0.5,0.5,0.5,0.5
